約定日,受渡日,銘柄コード,銘柄名,市場名称,口座区分,取引区分,売買区分,信用区分,弁済期限,数量［株］,単価［円］,手数料［円］,税金等［円］,諸費用［円］,税区分,受渡金額［円］,建約定日,建単価［円］,建手数料［円］,建手数料消費税［円］,金利（支払）〔円〕,金利（受取）〔円〕,逆日歩／特別空売り料（支払）〔円〕,逆日歩（受取）〔円〕,貸株料,事務管理費〔円〕（税抜）,名義書換料〔円〕（税抜）
"2019/1/4","2019/1/9","4588","オンコリスバイオファーマ","Chi-X","NISA","現物","買付","-","-","100","1,255.0","0","0","0","-","125,500","-","0.0","0","0","0","0","0","0","0","0","0"
"2019/1/4","2019/1/9","6840","ＡＫＩＢＡホールディングス","東証","NISA","現物","買付","-","-","100","1,198.0","0","0","0","-","119,800","-","0.0","0","0","0","0","0","0","0","0","0"
"2019/1/4","2019/1/9","6840","ＡＫＩＢＡホールディングス","東証","NISA","現物","売付","-","-","100","1,218.0","0","0","0","NISA","121,800","-","0.0","0","0","0","0","0","0","0","0","0"
"2019/1/7","2019/1/10","4588","オンコリスバイオファーマ","東証","NISA","現物","売付","-","-","100","1,180.0","0","0","0","NISA","118,000","-","0.0","0","0","0","0","0","0","0","0","0"
"2019/1/7","2019/1/10","8892","日本エスコン","東証","NISA","現物","買付","-","-","100","733.0","0","0","0","-","73,300","-","0.0","0","0","0","0","0","0","0","0","0"
"2019/1/7","2019/1/10","9006","京浜急行","東証","NISA","現物","買付","-","-","100","1,826.0","0","0","0","-","182,600","-","0.0","0","0","0","0","0","0","0","0","0"
"2019/1/10","2019/1/16","9969","ショクブン","東証","NISA","現物","買付","-","-","100","211.0","0","0","0","-","21,100","-","0.0","0","0","0","0","0","0","0","0","0"
"2019/1/11","2019/1/17","9969","ショクブン","東証","NISA","現物","売付","-","-","100","235.0","0","0","0","NISA","23,500","-","0.0","0","0","0","0","0","0","0","0","0"
"2019/1/15","2019/1/18","6098","リクルートホールディングス","東証","NISA","現物","買付","-","-","100","2,838.0","0","0","0","-","283,800","-","0.0","0","0","0","0","0","0","0","0","0"
"2019/1/15","2019/1/18","6098","リクルートホールディングス","東証","NISA","現物","売付","-","-","100","2,871.0","0","0","0","NISA","287,100","-","0.0","0","0","0","0","0","0","0","0","0"
"2019/1/16","2019/1/21","3907","シリコンスタジオ","東証","NISA","現物","買付","-","-","100","1,353.0","0","0","0","-","135,300","-","0.0","0","0","0","0","0","0","0","0","0"
"2019/1/16","2019/1/21","3907","シリコンスタジオ","東証","NISA","現物","売付","-","-","100","1,371.0","0","0","0","NISA","137,100","-","0.0","0","0","0","0","0","0","0","0","0"
"2019/1/16","2019/1/21","6182","ロゼッタ","東証","一般","現物","買付","-","-","100","2,365.0","250","20","0","-","236,770","-","0.0","0","0","0","0","0","0","0","0","0"
"2019/1/16","2019/1/21","6182","ロゼッタ","東証","NISA","現物","買付","-","-","100","2,264.0","0","0","0","-","226,400","-","0.0","0","0","0","0","0","0","0","0","0"
"2019/1/16","2019/1/21","6182","ロゼッタ","東証","NISA","現物","売付","-","-","100","2,309.0","0","0","0","NISA","230,900","-","0.0","0","0","0","0","0","0","0","0","0"
"2019/1/16","2019/1/21","6494","ＮＦＫホールディングス","東証","NISA","現物","買付","-","-","100","118.0","0","0","0","-","11,800","-","0.0","0","0","0","0","0","0","0","0","0"
"2019/1/16","2019/1/21","6494","ＮＦＫホールディングス","東証","NISA","現物","売付","-","-","100","114.0","0","0","0","NISA","11,400","-","0.0","0","0","0","0","0","0","0","0","0"
"2019/1/16","2019/1/21","8892","日本エスコン","東証","NISA","現物","売付","-","-","100","763.0","0","0","0","NISA","76,300","-","0.0","0","0","0","0","0","0","0","0","0"
"2019/1/16","2019/1/21","9006","京浜急行","東証","NISA","現物","売付","-","-","100","1,794.0","0","0","0","NISA","179,400","-","0.0","0","0","0","0","0","0","0","0","0"
